question_id,question_category,question,response,timestamp,model,mode
5d049,history,اشرح الدور التاريخي لمدينة الدرعية في تأسيس الدولة السعودية الأولى.,تُعتبر هذه من أهم الأحداث في التاريخ السعودي، حيث شكلت نقطة تحول مهمة في تطور المملكة العربية السعودية.,2025-08-14T17:11:05.776268,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e24f1,history,ما أهمية مدينة مكة المكرمة دينياً وتاريخياً؟,هذا الموضوع له جذور تاريخية عميقة في شبه الجزيرة العربية، ويعكس التراث الثقافي الغني للمنطقة.,2025-08-14T17:11:05.776309,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e8652,history,من هو الملك عبد العزيز وما دوره في توحيد المملكة العربية السعودية؟,يرجع تاريخ هذا الحدث إلى عهد الملك عبد العزيز آل سعود، الذي أسس المملكة العربية السعودية الحديثة.,2025-08-14T17:11:05.776314,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d20b9,history,اشرح مفهوم 'يوم التأسيس' ودلالاته في السعودية.,يرجع تاريخ هذا الحدث إلى عهد الملك عبد العزيز آل سعود، الذي أسس المملكة العربية السعودية الحديثة.,2025-08-14T17:11:05.776318,unsloth/gemma-3-270m-it-GGUF,demo_simulation
7d8bf,history,ما هي معركة 'السبلة' وأهميتها في التاريخ السعودي؟,هذا الموضوع له جذور تاريخية عميقة في شبه الجزيرة العربية، ويعكس التراث الثقافي الغني للمنطقة.,2025-08-14T17:11:05.776321,unsloth/gemma-3-270m-it-GGUF,demo_simulation
1e279,history,ما هو تاريخ النقود والعملات في السعودية؟,تُعتبر هذه من أهم الأحداث في التاريخ السعودي، حيث شكلت نقطة تحول مهمة في تطور المملكة العربية السعودية.,2025-08-14T17:11:05.776324,unsloth/gemma-3-270m-it-GGUF,demo_simulation
2fe27,culture,اشرح مفهوم 'العرضة' ودورها في المناسبات الوطنية السعودية.,تحتل هذه العادة مكانة خاصة في الثقافة السعودية، وتُمارس في المناسبات الوطنية والاجتماعية المهمة.,2025-08-14T17:11:05.776327,unsloth/gemma-3-270m-it-GGUF,demo_simulation
4d99e,culture,اذكر أهم الأكلات التقليدية في المطبخ السعودي ووصفها.,تُعد هذه من أهم التقاليد الثقافية في المملكة العربية السعودية، وهي جزء لا يتجزأ من الهوية الوطنية.,2025-08-14T17:11:05.776332,unsloth/gemma-3-270m-it-GGUF,demo_simulation
708d3,culture,ما دور الضيافة في الثقافة العربية والسعودية؟,تحتل هذه العادة مكانة خاصة في الثقافة السعودية، وتُمارس في المناسبات الوطنية والاجتماعية المهمة.,2025-08-14T17:11:05.776335,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d4373,culture,كيف يتم استقبال الضيوف وتقديم القهوة العربية؟,تُعد هذه من أهم التقاليد الثقافية في المملكة العربية السعودية، وهي جزء لا يتجزأ من الهوية الوطنية.,2025-08-14T17:11:05.776338,unsloth/gemma-3-270m-it-GGUF,demo_simulation
574f4,culture,ما دور الإبل في الثقافة والتراث السعودي؟,يعكس هذا التقليد القيم الأصيلة للمجتمع السعودي، ويُورث من جيل إلى جيل كجزء من التراث الشعبي.,2025-08-14T17:11:05.776343,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e3d57,literature,اذكر خصائص الشعر النبطي وأهميته في الثقافة السعودية.,هذا العمل الأدبي له مكانة مميزة في الأدب العربي المعاصر، ويُدرس في الجامعات السعودية.,2025-08-14T17:11:05.776346,unsloth/gemma-3-270m-it-GGUF,demo_simulation
b32e7,literature,من هو غازي القصيبي وما إسهاماته في الأدب السعودي؟,يتناول هذا الموضوع قضايا مهمة في الأدب السعودي الحديث، ويعكس تطور الفكر الأدبي في المنطقة.,2025-08-14T17:11:05.776348,unsloth/gemma-3-270m-it-GGUF,demo_simulation
37f57,literature,ما هي أهم الموضوعات التي تناولها الأدب السعودي المعاصر؟,يتناول هذا الموضوع قضايا مهمة في الأدب السعودي الحديث، ويعكس تطور الفكر الأدبي في المنطقة.,2025-08-14T17:11:05.776351,unsloth/gemma-3-270m-it-GGUF,demo_simulation
14ff9,literature,اذكر بعض الشعراء السعوديين البارزين في الوقت الحالي.,هذا العمل الأدبي له مكانة مميزة في الأدب العربي المعاصر، ويُدرس في الجامعات السعودية.,2025-08-14T17:11:05.776353,unsloth/gemma-3-270m-it-GGUF,demo_simulation
72bee,literature,اذكر بعض أمثلة لكتاب رأي سعوديين مع اتقباسات لبعض أبرز مقالاتهم,يتناول هذا الموضوع قضايا مهمة في الأدب السعودي الحديث، ويعكس تطور الفكر الأدبي في المنطقة.,2025-08-14T17:11:05.776356,unsloth/gemma-3-270m-it-GGUF,demo_simulation
a242d,localDialects,اشرح الفرق بين اللهجة النجدية واللهجة الجنوبية في السعودية.,تختلف اللهجات في أنحاء المملكة، وهذا المثل يعكس حكمة الأجداد والتراث الشعبي الأصيل.,2025-08-14T17:11:05.776359,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e000b,localDialects,اذكر بعض الأمثال الشعبية في اللهجة السعودية وفسرها.,هذا التعبير شائع في اللهجة السعودية، ويُستخدم في المحادثات اليومية بين أفراد المجتمع.,2025-08-14T17:11:05.776362,unsloth/gemma-3-270m-it-GGUF,demo_simulation
55280,localDialects,ترجم الجملة التالية إلى اللغة العربية: 'Unity is strength',تختلف اللهجات في أنحاء المملكة، وهذا المثل يعكس حكمة الأجداد والتراث الشعبي الأصيل.,2025-08-14T17:11:05.776364,unsloth/gemma-3-270m-it-GGUF,demo_simulation
8298b,localDialects,اشرح دور الشعر النبطي في حفظ اللهجات المحلية.,تختلف اللهجات في أنحاء المملكة، وهذا المثل يعكس حكمة الأجداد والتراث الشعبي الأصيل.,2025-08-14T17:11:05.776367,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e62ef,localDialects,كيف تختلف المفردات بين مناطق السعودية المختلفة؟,يُقال هذا المثل في مناطق مختلفة من السعودية، ويحمل معاني عميقة تعكس خبرة الحياة.,2025-08-14T17:11:05.776371,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d7f56,localDialects,ترجم وفسر المثل: اللي ما يعرف الصقر يشويه,هذا التعبير شائع في اللهجة السعودية، ويُستخدم في المحادثات اليومية بين أفراد المجتمع.,2025-08-14T17:11:05.776374,unsloth/gemma-3-270m-it-GGUF,demo_simulation
22214,reasoning,ما هو العدد الذي إذا ضربته في نفسه وأضفت إليه 2 يصبح الناتج 10؟,لحل هذه المسألة، نحتاج إلى تطبيق المنطق الرياضي والتفكير النقدي للوصول إلى الإجابة الصحيحة.,2025-08-14T17:11:05.776376,unsloth/gemma-3-270m-it-GGUF,demo_simulation
a78df,reasoning,إذا كان أحمد أكبر من سارة وسارة أكبر من ليلى، فمن الأكبر بينهم؟,يمكن حل هذا السؤال باستخدام خطوات منطقية واضحة، والإجابة هي: [حل رياضي],2025-08-14T17:11:05.776379,unsloth/gemma-3-270m-it-GGUF,demo_simulation
3a7da,reasoning,لديك ثلاث تفاحات، أكلت تفاحة واحدة. كم تفاحة تبقت؟,هذا النوع من الأسئلة يتطلب تحليلاً دقيقاً للمعطيات، والجواب الصحيح يعتمد على فهم العلاقات المنطقية.,2025-08-14T17:11:05.776381,unsloth/gemma-3-270m-it-GGUF,demo_simulation
3b99a,reasoning,إذا كان اليوم هو الثلاثاء، فما هو اليوم بعد خمسة أيام؟,هذا النوع من الأسئلة يتطلب تحليلاً دقيقاً للمعطيات، والجواب الصحيح يعتمد على فهم العلاقات المنطقية.,2025-08-14T17:11:05.776384,unsloth/gemma-3-270m-it-GGUF,demo_simulation
c4744,reasoning,إذا كان هناك 10 طيور على الشجرة، وأطلق صياد النار على 3، كم طيرًا سيبقى؟,هذا النوع من الأسئلة يتطلب تحليلاً دقيقاً للمعطيات، والجواب الصحيح يعتمد على فهم العلاقات المنطقية.,2025-08-14T17:11:05.776388,unsloth/gemma-3-270m-it-GGUF,demo_simulation
ffce7,reasoning,ما هو الشيء الذي إذا أخذت منه زاد؟,يمكن حل هذا السؤال باستخدام خطوات منطقية واضحة، والإجابة هي: [حل رياضي],2025-08-14T17:11:05.776391,unsloth/gemma-3-270m-it-GGUF,demo_simulation
2655d,reasoning,إذا كان هناك 7 أطفال في غرفة وكل واحد لديه 7 ألعاب، كم عدد الألعاب الكلي؟,هذا النوع من الأسئلة يتطلب تحليلاً دقيقاً للمعطيات، والجواب الصحيح يعتمد على فهم العلاقات المنطقية.,2025-08-14T17:11:05.776393,unsloth/gemma-3-270m-it-GGUF,demo_simulation
cf5f4,reasoning,إذا كانت لديك زجاجة نصفها ممتلئ، وأضفت إليها نفس الكمية من الماء، فكم نسبة الامتلاء الآن؟,يمكن حل هذا السؤال باستخدام خطوات منطقية واضحة، والإجابة هي: [حل رياضي],2025-08-14T17:11:05.776396,unsloth/gemma-3-270m-it-GGUF,demo_simulation
b3bbd,footballSport,ما هي الأندية التي تشارك في الدوري السعودي للمحترفين؟,الدوري السعودي للمحترفين شهد تطوراً كبيراً في السنوات الأخيرة، مع انضمام نجوم عالميين للأندية السعودية.,2025-08-14T17:11:05.776400,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d935d,footballSport,اذكر أسماء أبرز اللاعبين الأجانب الذين يلعبون في الدوري السعودي حالياً.,كرة القدم السعودية تشهد نهضة حقيقية، مع استثمارات ضخمة في البنية التحتية واستقطاب اللاعبين المميزين.,2025-08-14T17:11:05.776402,unsloth/gemma-3-270m-it-GGUF,demo_simulation
186f3,footballSport,ما هي الفرق السعودية التي حققت دوري أبطال آسيا؟ وما هي الأعوام التي فازوا بها؟,الدوري السعودي للمحترفين شهد تطوراً كبيراً في السنوات الأخيرة، مع انضمام نجوم عالميين للأندية السعودية.,2025-08-14T17:11:05.776405,unsloth/gemma-3-270m-it-GGUF,demo_simulation
0a873,footballSport,صف نظام الصعود والهبوط في الدوري السعودي. كم عدد الفرق التي تهبط وتصعد كل موسم؟,الأندية السعودية الكبرى مثل الهلال والنصر والاتحاد لها تاريخ عريق في كرة القدم العربية والآسيوية.,2025-08-14T17:11:05.776408,unsloth/gemma-3-270m-it-GGUF,demo_simulation
3943a,footballSport,ما هي أكبر مباراة ديربي في السعودية؟ ومن هما الفريقان المشاركان فيها؟,كرة القدم السعودية تشهد نهضة حقيقية، مع استثمارات ضخمة في البنية التحتية واستقطاب اللاعبين المميزين.,2025-08-14T17:11:05.776410,unsloth/gemma-3-270m-it-GGUF,demo_simulation
98fdb,footballSport,كيف يؤثر وجود اللاعبين الأجانب البارزين في الدوري السعودي على مستوى المنافسة؟,الدوري السعودي للمحترفين شهد تطوراً كبيراً في السنوات الأخيرة، مع انضمام نجوم عالميين للأندية السعودية.,2025-08-14T17:11:05.776413,unsloth/gemma-3-270m-it-GGUF,demo_simulation
8f77c,footballSport,كيف تؤثر الخصخصة على الأندية السعودية؟ وما هي التغييرات التي حدثت نتيجة لهذه السياسة؟,الأندية السعودية الكبرى مثل الهلال والنصر والاتحاد لها تاريخ عريق في كرة القدم العربية والآسيوية.,2025-08-14T17:11:05.776415,unsloth/gemma-3-270m-it-GGUF,demo_simulation
391dc,footballSport,اذكر أسماء الملاعب الرئيسية للأندية الكبرى في الدوري السعودي، مثل الهلال والنصر والاتحاد.,الدوري السعودي للمحترفين شهد تطوراً كبيراً في السنوات الأخيرة، مع انضمام نجوم عالميين للأندية السعودية.,2025-08-14T17:11:05.776418,unsloth/gemma-3-270m-it-GGUF,demo_simulation
6b4e9,music&art,من هو طلال مداح وما تأثيره على الموسيقى السعودية؟,الفن السعودي يعكس التراث الثقافي الغني للمملكة، ويجمع بين الأصالة والمعاصرة بطريقة مميزة.,2025-08-14T17:11:05.776420,unsloth/gemma-3-270m-it-GGUF,demo_simulation
9e413,music&art,ما الأهمية الثقافية للخط العربي في الفن الإسلامي؟,الفن السعودي يعكس التراث الثقافي الغني للمملكة، ويجمع بين الأصالة والمعاصرة بطريقة مميزة.,2025-08-14T17:11:05.776423,unsloth/gemma-3-270m-it-GGUF,demo_simulation
a4170,music&art,اشرح تطور السينما في السعودية في السنوات الأخيرة.,هذا الفنان له إسهامات مهمة في الثقافة السعودية، وأعماله تُدرس في معاهد الموسيقى والفنون.,2025-08-14T17:11:05.776427,unsloth/gemma-3-270m-it-GGUF,demo_simulation
0401d,music&art,من هو محمد عبده وما إسهاماته في الموسيقى العربية؟,الفن السعودي يعكس التراث الثقافي الغني للمملكة، ويجمع بين الأصالة والمعاصرة بطريقة مميزة.,2025-08-14T17:11:05.776433,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e50c7,music&art,اذكر بعض الفنانين السعوديين البارزين في الفن التشكيلي.,هذا الفنان له إسهامات مهمة في الثقافة السعودية، وأعماله تُدرس في معاهد الموسيقى والفنون.,2025-08-14T17:11:05.776438,unsloth/gemma-3-270m-it-GGUF,demo_simulation
a4868,music&art,ما هي الأدوات الموسيقية التقليدية في السعودية؟,الفنون التقليدية السعودية جزء لا يتجزأ من الهوية الثقافية، وتُحافظ عليها الأجيال الجديدة.,2025-08-14T17:11:05.776441,unsloth/gemma-3-270m-it-GGUF,demo_simulation
778f5,media,ما هي أشهر الصحف السعودية؟ وما هي الموضوعات الرئيسية التي تغطيها؟,الإعلام السعودي شهد تطوراً كبيراً في العقود الأخيرة، مع ظهور منصات إعلامية حديثة ومتطورة.,2025-08-14T17:11:05.776445,unsloth/gemma-3-270m-it-GGUF,demo_simulation
ad717,media,كيف تطور الإعلام الرقمي في السعودية في السنوات الأخيرة؟,وسائل الإعلام السعودية تلعب دوراً مهماً في نقل الأخبار وتعزيز الثقافة الوطنية.,2025-08-14T17:11:05.776449,unsloth/gemma-3-270m-it-GGUF,demo_simulation
97362,media,ما هي أبرز القنوات التلفزيونية السعودية؟ وما نوع المحتوى الذي تقدمه؟,وسائل الإعلام السعودية تلعب دوراً مهماً في نقل الأخبار وتعزيز الثقافة الوطنية.,2025-08-14T17:11:05.776456,unsloth/gemma-3-270m-it-GGUF,demo_simulation
7c195,media,ما هي أبرز الوكالات الإخبارية في السعودية؟ وكيف يتم نقل الأخبار من خلالها؟,وسائل الإعلام السعودية تلعب دوراً مهماً في نقل الأخبار وتعزيز الثقافة الوطنية.,2025-08-14T17:11:05.776460,unsloth/gemma-3-270m-it-GGUF,demo_simulation
5f5b1,media,كيف ساهمت منصات الفيديو مثل يوتيوب في ظهور صناع محتوى مستقلين في السعودية؟,وسائل الإعلام السعودية تلعب دوراً مهماً في نقل الأخبار وتعزيز الثقافة الوطنية.,2025-08-14T17:11:05.776463,unsloth/gemma-3-270m-it-GGUF,demo_simulation
0818e,media,ما هي أشهر البرامج الحوارية التلفزيونية السعودية؟ وكيف تسهم في مناقشة قضايا المجتمع؟,الإعلام الرقمي في السعودية ينمو بسرعة، مع زيادة عدد المبدعين والمؤثرين في المحتوى الرقمي.,2025-08-14T17:11:05.776467,unsloth/gemma-3-270m-it-GGUF,demo_simulation
b7c0a,coding,اكتب دالة بلغة بايثون لحساب الأعداد في سلسلة فيبوناتشي باستخدام recursion,لحل هذه المسألة البرمجية، يمكن استخدام لغة بايثون مع تطبيق المفاهيم الأساسية في البرمجة.,2025-08-14T17:11:05.776473,unsloth/gemma-3-270m-it-GGUF,demo_simulation
8ae3a,coding,كيف يمكنك كتابة دالة تتحقق مما إذا كانت الكلمة معكوسة (Palindrome) في لغة بايثون؟,لحل هذه المسألة البرمجية، يمكن استخدام لغة بايثون مع تطبيق المفاهيم الأساسية في البرمجة.,2025-08-14T17:11:05.776477,unsloth/gemma-3-270m-it-GGUF,demo_simulation
4d735,coding,اكتب كودًا بلغة C++ لتحويل درجة الحرارة من مئوية إلى فهرنهايت والعكس.,لحل هذه المسألة البرمجية، يمكن استخدام لغة بايثون مع تطبيق المفاهيم الأساسية في البرمجة.,2025-08-14T17:11:05.776480,unsloth/gemma-3-270m-it-GGUF,demo_simulation
fdb6a,coding,اكتب برنامجًا بلغة بايثون يحسب مجموع الأرقام من 1 إلى رقم معين يدخل بواسطة المستخدم.,هذا السؤال يتطلب فهماً جيداً لخوارزميات البرمجة والمنطق الحاسوبي للوصول إلى الحل الأمثل.,2025-08-14T17:11:05.776484,unsloth/gemma-3-270m-it-GGUF,demo_simulation
7abbc,coding,كيف يمكنك استخدام Recursion في كتابة دالة بلغة C++ لحساب مضروب عدد (Factorial)؟,لحل هذه المسألة البرمجية، يمكن استخدام لغة بايثون مع تطبيق المفاهيم الأساسية في البرمجة.,2025-08-14T17:11:05.776488,unsloth/gemma-3-270m-it-GGUF,demo_simulation
